1,1
2,1.1
3,1.2
4,1.05
5,1.3
6,1.1
7,1.12
8,1.11
9,1.4
10,1
11,1.1
12,1.3
13,1.6
14,2
15,1.5
16,4
17,5
18,10
19,7.8
20,8
21,7.2
22,5
23,3
24,2.1
25,1.7
26,1.5
27,1.1
28,1
29,1.03
30,1.12
31,1.21
32,1.01
33,1
34,1.5
35,1.9
36,2.1
37,1.9
38,1.8
39,1.3
40,1.2
41,1.1
42,1.6
43,2.2
44,3.3
45,4.5
46,6
47,5
48,4.1
49,3
50,2
51,1.5
52,1.1
53,1.2
54,1.3
55,1.11
56,1.04
57,1.5
58,1.22
59,1.02
60,1.01
61,1.09
62,1.19
63,1.22
64,1.32
65,1.14
66,1.13
67,1.02
68,1.2
69,1.6
70,1.24
71,3.5
72,2.2
73,2.5
74,3.7
75,1.8
76,1.4
77,1.37
78,1.22
79,1.9
80,2.5
81,1.1
82,4
83,1.2
84,1.32
85,1.1
86,1.65
87,1.55
88,1.32
89,1.1
90,1.05
91,1.4
92,1.12
93,1.45
94,1.33
95,1.27
96,1.09
97,1.35
98,1.27
99,1.38
100,2.6
101,6.2
102,8.9
103,7.7
104,12.1
105,4.5
106,5.6
107,3.2
108,1.1
109,1.3
110,1.43
111,1.22
112,1.52
113,1.08
